iter	Passed	Remaining
0	134	133917
1	135	67480
2	136	45299
3	137	34201
4	138	27568
5	139	23157
6	141	20007
7	142	17666
8	143	15853
9	145	14419
10	146	13205
11	147	12148
12	148	11249
13	148	10480
14	149	9811
15	150	9227
16	150	8711
17	151	8253
18	151	7842
19	152	7473
20	153	7139
21	153	6835
22	154	6558
23	155	6303
24	155	6068
25	156	5852
26	156	5651
27	157	5464
28	158	5290
29	158	5129
30	159	4979
31	159	4837
32	160	4704
33	161	4578
34	161	4460
35	162	4348
36	162	4242
37	163	4142
38	164	4047
39	164	3956
40	165	3871
41	166	3788
42	166	3711
43	167	3636
44	168	3565
45	168	3497
46	169	3432
47	169	3369
48	170	3309
49	171	3251
50	171	3195
51	172	3142
52	172	3090
53	173	3040
54	174	2993
55	174	2947
56	175	2902
57	176	2859
58	176	2818
59	177	2778
60	177	2739
61	178	2701
62	179	2664
63	179	2628
64	180	2594
65	180	2561
66	181	2528
67	182	2496
68	182	2466
69	183	2436
70	184	2407
71	184	2379
72	185	2352
73	185	2326
74	186	2300
75	187	2274
76	187	2250
77	188	2226
78	188	2202
79	189	2179
80	190	2157
81	190	2135
82	191	2111
83	191	2090
84	192	2070
85	192	2050
86	193	2031
87	194	2012
88	194	1994
89	195	1976
90	196	1958
91	196	1940
92	197	1923
93	197	1906
94	198	1890
95	199	1874
96	199	1858
97	200	1843
98	200	1828
99	201	1814
100	202	1799
101	202	1785
102	203	1771
103	204	1757
104	204	1744
105	205	1731
106	205	1718
107	206	1705
108	207	1692
109	207	1680
110	208	1668
111	208	1656
112	209	1644
113	210	1632
114	210	1621
115	211	1610
116	211	1598
117	212	1587
118	213	1577
119	213	1567
120	214	1557
121	214	1546
122	215	1536
123	216	1526
124	216	1517
125	217	1507
126	217	1497
127	218	1488
128	219	1479
129	219	1470
130	220	1461
131	220	1453
132	221	1444
133	222	1436
134	222	1427
135	223	1419
136	224	1411
137	224	1403
138	225	1395
139	225	1387
140	226	1379
141	226	1370
142	227	1363
143	228	1356
144	228	1349
145	229	1342
146	230	1334
147	230	1328
148	231	1321
149	231	1314
150	232	1307
151	233	1300
152	233	1294
153	234	1287
154	235	1281
155	235	1275
156	236	1268
157	236	1262
158	237	1256
159	238	1250
160	238	1243
161	239	1237
162	239	1231
163	240	1225
164	241	1220
165	241	1214
166	242	1208
167	242	1202
168	243	1197
169	244	1192
170	244	1186
171	245	1181
172	245	1175
173	246	1170
174	247	1165
175	247	1159
176	248	1154
177	249	1149
178	249	1144
179	250	1139
180	250	1135
181	251	1130
182	252	1125
183	252	1120
184	253	1115
185	253	1110
186	254	1106
187	255	1101
188	255	1097
189	256	1092
190	256	1088
191	257	1084
192	258	1079
193	258	1075
194	259	1070
195	259	1066
196	260	1062
197	261	1057
198	261	1053
199	262	1049
200	262	1045
201	263	1041
202	264	1037
203	264	1033
204	265	1028
205	265	1025
206	266	1020
207	267	1017
208	267	1013
209	268	1009
210	268	1005
211	269	1001
212	270	998
213	270	994
214	271	990
215	271	986
216	272	983
217	273	979
218	273	975
219	274	972
220	274	968
221	275	965
222	276	961
223	276	958
224	277	955
225	277	951
226	278	948
227	279	945
228	279	941
229	280	938
230	280	935
231	281	932
232	282	928
233	282	925
234	283	922
235	284	919
236	284	916
237	285	913
238	285	909
239	286	906
240	286	903
241	287	901
242	288	898
243	288	895
244	289	892
245	290	889
246	290	886
247	291	883
248	291	880
249	292	877
250	293	874
251	293	871
252	294	869
253	295	866
254	295	863
255	296	860
256	296	858
257	297	855
258	298	852
259	298	850
260	299	847
261	300	845
262	300	842
263	301	840
264	302	837
265	302	835
266	303	832
267	303	830
268	304	827
269	305	825
270	305	822
271	306	820
272	307	817
273	307	815
274	308	812
275	308	810
276	309	807
277	310	805
278	310	803
279	311	800
280	311	798
281	312	796
282	313	793
283	313	791
284	314	789
285	315	787
286	316	785
287	316	783
288	317	781
289	318	778
290	318	776
291	319	774
292	320	772
293	320	770
294	321	768
295	322	765
296	322	763
297	323	761
298	323	759
299	324	757
300	325	755
301	325	753
302	326	751
303	327	748
304	327	747
305	328	745
306	329	743
307	329	741
308	330	739
309	331	737
310	331	735
311	332	733
312	333	731
313	333	729
314	334	727
315	335	725
316	335	723
317	336	721
318	337	719
319	337	717
320	338	715
321	338	713
322	339	711
323	339	709
324	340	707
325	341	705
326	341	703
327	342	701
328	343	699
329	343	697
330	344	695
331	344	694
332	345	692
333	346	690
334	346	688
335	347	686
336	348	684
337	348	682
338	349	680
339	349	679
340	350	677
341	351	675
342	351	673
343	352	671
344	352	669
345	353	668
346	354	666
347	354	664
348	355	662
349	355	660
350	356	658
